Nombre,Tamaño real (Bytes),Tamaño comprimido (Bytes),N,Cantidad de pixeles,bits/pixel (Real),bits/pixel (Comprimida),Tasa de compresión (bits/pixel),Tasa de compresión (porcentual),Operación correcta
baloons.pgm,328739,66603,2,328725,8.00034071,1.620880675,6.379460035,79.73985441,Si
baloons.pgm,328739,62796,4,328725,8.00034071,1.528231805,6.472108906,80.89791598,Si
baloons.pgm,328739,61376,8,328725,8.00034071,1.493674044,6.506666667,81.32986959,Si
baloons.pgm,328739,61565,16,328725,8.00034071,1.498273633,6.502067077,81.27237717,Si
baloons.pgm,328739,64702,64,328725,8.00034071,1.574617081,6.425723629,80.31812471,Si
baloons.pgm,328739,68104,256,328725,8.00034071,1.657409689,6.342931021,79.28326119,Si
barbara.pgm,262159,247867,2,262144,8.000457764,7.564300537,0.4361572266,5.451653386,Si
barbara.pgm,262159,217808,4,262144,8.000457764,6.646972656,1.353485107,16.91759581,Si
barbara.pgm,262159,202269,8,262144,8.000457764,6.17276001,1.827697754,22.84491473,Si
barbara.pgm,262159,198022,16,262144,8.000457764,6.043151855,1.957305908,24.46492396,Si
barbara.pgm,262159,200017,64,262144,8.000457764,6.104034424,1.89642334,23.7039354,Si
barbara.pgm,262159,206368,256,262144,8.000457764,6.297851563,1.702606201,21.28135979,Si
bike.pgm,5242897,3562834,2,5242880,8.00002594,5.436453247,2.563572693,32.04455476,Si
bike.pgm,5242897,3272481,4,5242880,8.00002594,4.993409729,3.006616211,37.58258078,Si
bike.pgm,5242897,3150641,8,5242880,8.00002594,4.807496643,3.192529297,39.90648681,Si
bike.pgm,5242897,3133567,16,5242880,8.00002594,4.781443787,3.218582153,40.23214646,Si
bike.pgm,5242897,3213977,64,5242880,8.00002594,4.904139709,3.09588623,38.6984524,Si
bike.pgm,5242897,3349509,256,5242880,8.00002594,5.110945129,2.889080811,36.11339303,Si
faxballsL.pgm,524304,138592,2,524288,8.000244141,2.114746094,5.885498047,73.56648052,Si
faxballsL.pgm,524304,131995,4,524288,8.000244141,2.014083862,5.986160278,74.82472001,Si
faxballsL.pgm,524304,119143,8,524288,8.000244141,1.817977905,6.182266235,77.27596967,Si
faxballsL.pgm,524304,113025,16,524288,8.000244141,1.724624634,6.275619507,78.44284995,Si
faxballsL.pgm,524304,116523,64,524288,8.000244141,1.777999878,6.222244263,77.77567976,Si
faxballsL.pgm,524304,128094,256,524288,8.000244141,1.954559326,6.045684814,75.56875401,Si
kodim07.pgm,393231,420880,2,393216,8.000305176,8.562825521,-0.5625203451,N/A,Si
kodim07.pgm,393231,325665,4,393216,8.000305176,6.625671387,1.374633789,17.18226691,Si
kodim07.pgm,393231,275435,8,393216,8.000305176,5.603739421,2.396565755,29.95592921,Si
kodim07.pgm,393231,261518,16,393216,8.000305176,5.320597331,2.679707845,33.49507033,Si
kodim07.pgm,393231,265827,64,393216,8.000305176,5.40826416,2.592041016,32.39927676,Si
kodim07.pgm,393231,280094,256,393216,8.000305176,5.698527018,2.301778158,28.77112944,Si
kodim20.pgm,393231,197860,2,393216,8.000305176,4.025472005,3.974833171,49.68351936,Si
kodim20.pgm,393231,184977,4,393216,8.000305176,3.763366699,4.236938477,52.9597107,Si
kodim20.pgm,393231,180349,8,393216,8.000305176,3.669209798,4.331095378,54.13662707,Si
kodim20.pgm,393231,179867,16,393216,8.000305176,3.659403483,4.340901693,54.25920133,Si
kodim20.pgm,393231,184885,64,393216,8.000305176,3.761494954,4.238810221,52.98310662,Si
kodim20.pgm,393231,191248,256,393216,8.000305176,3.890950521,4.109354655,51.36497377,Si
kodim24.pgm,393231,347066,2,393216,8.000305176,7.061075846,0.9392293294,11.73991878,Si
kodim24.pgm,393231,300033,4,393216,8.000305176,6.104187012,1.896118164,23.70057295,Si
kodim24.pgm,393231,280361,8,393216,8.000305176,5.703959147,2.296346029,28.70323042,Si
kodim24.pgm,393231,275191,16,393216,8.000305176,5.598775228,2.401529948,30.01797925,Si
kodim24.pgm,393231,284065,64,393216,8.000305176,5.77931722,2.220987956,27.76129044,Si
kodim24.pgm,393231,296134,256,393216,8.000305176,6.024861654,1.975443522,24.6921021,Si
tools.pgm,1828817,1966848,2,1828800,8.000074366,8.603884514,-0.6038101487,N/A,Si
tools.pgm,1828817,1661397,4,1828800,8.000074366,7.267703412,0.7323709536,9.154551822,Si
tools.pgm,1828817,1520407,8,1828800,8.000074366,6.650949256,1.349125109,16.8639071,Si
tools.pgm,1828817,1494381,16,1828800,8.000074366,6.537099738,1.462974628,18.28701286,Si
tools.pgm,1828817,1515521,64,1828800,8.000074366,6.629575678,1.370498688,17.13107435,Si
tools.pgm,1828817,1556762,256,1828800,8.000074366,6.809982502,1.190091864,14.87601001,Si
womanc.pgm,5242897,6453770,2,5242880,8.00002594,9.847671509,-1.847645569,N/A,Si
womanc.pgm,5242897,5051347,4,5242880,8.00002594,7.707743835,0.2922821045,3.65351446,Si
womanc.pgm,5242897,4098168,8,5242880,8.00002594,6.253308105,1.746717834,21.83390213,Si
womanc.pgm,5242897,3810280,16,5242880,8.00002594,5.814025879,2.186000061,27.32491216,Si
womanc.pgm,5242897,3728822,64,5242880,8.00002594,5.689730835,2.310295105,28.87859517,Si
womanc.pgm,5242897,3761069,256,5242880,8.00002594,5.738935852,2.261090088,28.26353445,Si
